No.,Kabupaten/Kota,Siswa pada MI Negeri,Guru pada MI Negeri,Rasio MI Negeri,Siswa pada MI Swasta,Guru pada MI Swasta,Rasio MI Swasta,Siswa pada MTs Negeri,Guru pada MTs Negeri,Rasio Mts Negeri,Siswa pada MTs Swasta,Guru pada MTs Swasta,Rasio Mts Swasta,Siswa pada MA Negeri,Guru pada MA Negeri,Rasio MA Negeri,Siswa pada MA Swasta,Guru pada MA Swasta,Rasio MA Swasta
1,Kab.Paser,981,59,17,"1,983",129,15,1786,115,16,"1,944",146,13,890,135,7,"1,158",116,10
2,Kab.Kutai Kartanegara,726,42,17,5814,434,13,1994,129,15,7221,630,11,1129,65,17,1613,244,7
3,Kab.Berau,461,24,19,"1,004",74,14,535,31,17,871,79,11,554,52,11,123,16,8
4,Kab. Kutai Barat,-,-,-,1569,106,15,300,18,17,741,80,9,142,19,8,128,32,4
5,Kab.Kutai Timur,"1,147",59,19,963,56,17,241,19,13,"1,609",149,11,-,-,-,300,42,7
6,Kab.Panajam Paser Utara,-,-,-,448,41,11,835,58,14,939,62,15,292,37,8,273,28,10
7,Kab.Mahakam Ulu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Kota Balikpapan,713,40,18,"5,892",277,21,1378,91,15,2108,128,16,472,39,12,774,73,11
9,Kota Samarinda,1358,85,16,7983,470,17,972,74,13,7127,600,12,1781,129,14,1528,196,8
10,Kota Bontang,-,-,-,"1,259",102,12,-,-,-,"1,017",73,14,431,38,11,29,10,3
11,Kalimantan Timur,5386,309,17,"26,915",1689,16,8041,535,15,"23,577",1947,12,5691,514,11,"5,926",757,8
